iter	Passed	Remaining
0	78	78605
1	170	84920
2	260	86502
3	332	82856
4	412	82150
5	483	80168
6	553	78556
7	627	77783
8	699	77021
9	772	76497
10	843	75861
11	912	75107
12	982	74601
13	1054	74294
14	1126	73952
15	1197	73617
16	1269	73419
17	1340	73116
18	1410	72819
19	1478	72453
20	1548	72207
21	1618	71933
22	1690	71793
23	1761	71636
24	1835	71583
25	1910	71588
26	1979	71320
27	2051	71214
28	2127	71249
29	2200	71148
30	2271	70995
31	2341	70816
32	2412	70689
33	2486	70657
34	2562	70659
35	2637	70625
36	2708	70504
37	2770	70133
38	2830	69758
39	2889	69356
40	2949	68998
41	3014	68750
42	3076	68475
43	3147	68383
44	3209	68116
45	3274	67903
46	3338	67697
47	3401	67464
48	3458	67120
49	3523	66948
50	3583	66675
51	3641	66391
52	3707	66242
53	3773	66104
54	3831	65828
55	3894	65642
56	3953	65406
57	4014	65195
58	4076	65011
59	4138	64842
60	4199	64639
61	4265	64533
62	4328	64385
63	4399	64342
64	4467	64264
65	4534	64170
66	4600	64064
67	4662	63904
68	4733	63863
69	4798	63745
70	4865	63662
71	4925	63486
72	4984	63299
73	5040	63072
74	5107	62990
75	5174	62917
76	5240	62821
77	5309	62764
78	5378	62704
79	5446	62629
80	5501	62413
81	5562	62277
82	5624	62138
83	5690	62052
84	5747	61866
85	5810	61749
86	5869	61598
87	5932	61486
88	5992	61335
89	6052	61193
90	6114	61080
91	6180	60995
92	6241	60872
93	6307	60796
94	6373	60716
95	6439	60640
96	6506	60573
97	6574	60515
98	6636	60394
99	6699	60297
100	6764	60211
101	6841	60236
102	6917	60243
103	6987	60197
104	7050	60099
105	7122	60067
106	7185	59971
107	7254	59917
108	7325	59877
109	7395	59840
110	7462	59765
111	7528	59692
112	7600	59658
113	7672	59630
114	7737	59547
115	7806	59491
116	7875	59437
117	7946	59394
118	8011	59314
119	8083	59279
120	8158	59263
121	8234	59261
122	8302	59194
123	8373	59151
124	8441	59091
125	8512	59047
126	8578	58965
127	8645	58896
128	8712	58827
129	8785	58798
130	8860	58776
131	8926	58697
132	8993	58624
133	9060	58557
134	9128	58489
135	9193	58408
136	9261	58339
137	9329	58275
138	9393	58185
139	9465	58147
140	9532	58075
141	9607	58049
142	9677	57996
143	9752	57973
144	9830	57968
145	9900	57912
146	9976	57890
147	10046	57835
148	10120	57801
149	10185	57716
150	10251	57638
151	10318	57564
152	10381	57468
153	10452	57422
154	10527	57390
155	10589	57290
156	10657	57225
157	10726	57163
158	10792	57083
159	10860	57019
160	10932	56969
161	11000	56901
162	11079	56895
163	11148	56831
164	11214	56754
165	11280	56674
166	11345	56594
167	11417	56543
168	11483	56465
169	11555	56417
170	11627	56369
171	11696	56305
172	11771	56270
173	11836	56188
174	11903	56114
175	11964	56017
176	12029	55932
177	12100	55877
178	12168	55810
179	12237	55749
180	12306	55686
181	12374	55619
182	12445	55564
183	12514	55499
184	12578	55411
185	12643	55332
186	12710	55259
187	12775	55180
188	12841	55103
189	12909	55035
190	12978	54970
191	13043	54892
192	13117	54848
193	13205	54864
194	13285	54844
195	13358	54798
196	13435	54763
197	13505	54703
198	13570	54624
199	13639	54558
200	13706	54483
201	13787	54466
202	13864	54433
203	13931	54361
204	13994	54269
205	14065	54215
206	14136	54154
207	14211	54111
208	14289	54080
209	14363	54032
210	14435	53979
211	14508	53926
212	14581	53875
213	14652	53818
214	14722	53753
215	14791	53689
216	14860	53622
217	14930	53558
218	14998	53487
219	15065	53414
220	15135	53352
221	15198	53262
222	15266	53193
223	15337	53133
224	15404	53060
225	15471	52987
226	15541	52923
227	15606	52841
228	15675	52774
229	15741	52700
230	15816	52653
231	15888	52595
232	15957	52527
233	16025	52458
234	16090	52381
235	16157	52307
236	16224	52232
237	16289	52152
238	16356	52079
239	16429	52026
240	16493	51943
241	16556	51858
242	16621	51780
243	16689	51710
244	16752	51624
245	16821	51557
246	16893	51500
247	16966	51446
248	17039	51390
249	17104	51312
250	17175	51252
251	17242	51180
252	17309	51108
253	17376	51034
254	17445	50967
255	17510	50890
256	17581	50829
257	17649	50759
258	17715	50684
259	17781	50608
260	17848	50537
261	17922	50484
262	17993	50423
263	18068	50372
264	18142	50320
265	18212	50256
266	18279	50182
267	18348	50116
268	18418	50051
269	18489	49991
270	18557	49921
271	18627	49856
272	18700	49800
273	18771	49736
274	18838	49663
275	18903	49588
276	18966	49505
277	19034	49434
278	19104	49369
279	19173	49302
280	19238	49226
281	19304	49152
282	19366	49066
283	19427	48979
284	19484	48881
285	19549	48805
286	19615	48730
287	19678	48649
288	19739	48563
289	19799	48475
290	19867	48404
291	19923	48306
292	19985	48224
293	20044	48134
294	20107	48052
295	20169	47971
296	20232	47890
297	20294	47806
298	20358	47730
299	20422	47651
300	20482	47564
301	20545	47486
302	20615	47422
303	20679	47344
304	20738	47257
305	20796	47164
306	20856	47079
307	20918	46997
308	20974	46903
309	21043	46839
310	21111	46770
311	21183	46713
312	21252	46646
313	21319	46576
314	21384	46502
315	21443	46415
316	21510	46345
317	21575	46271
318	21644	46205
319	21705	46123
320	21768	46046
321	21834	45974
322	21894	45889
323	21957	45812
324	22014	45721
325	22073	45636
326	22132	45551
327	22192	45468
328	22259	45399
329	22319	45314
330	22375	45224
331	22438	45147
332	22506	45081
333	22570	45006
334	22632	44927
335	22694	44848
336	22757	44772
337	22821	44698
338	22880	44613
339	22949	44548
340	23016	44481
341	23086	44418
342	23153	44349
343	23218	44277
344	23286	44210
345	23357	44148
346	23427	44085
347	23492	44014
348	23562	43952
349	23628	43881
350	23699	43820
351	23773	43764
352	23846	43706
353	23915	43642
354	23994	43594
355	24065	43533
356	24138	43475
357	24212	43420
358	24287	43365
359	24364	43315
360	24441	43262
361	24523	43221
362	24602	43173
363	24671	43106
364	24748	43055
365	24822	42998
366	24897	42943
367	24971	42886
368	25041	42821
369	25112	42758
370	25189	42706
371	25257	42639
372	25328	42575
373	25396	42508
374	25469	42449
375	25537	42381
376	25606	42314
377	25676	42250
378	25741	42178
379	25813	42116
380	25887	42058
381	25958	41994
382	26034	41941
383	26107	41880
384	26176	41814
385	26245	41747
386	26314	41682
387	26389	41624
388	26461	41563
389	26551	41529
390	26665	41532
391	26752	41493
392	26821	41425
393	26893	41363
394	26969	41307
395	27048	41256
396	27116	41186
397	27190	41127
398	27263	41065
399	27336	41004
400	27403	40934
401	27484	40884
402	27561	40829
403	27636	40770
404	27707	40706
405	27788	40655
406	27860	40592
407	27931	40528
408	28013	40478
409	28084	40414
410	28159	40355
411	28228	40287
412	28295	40216
413	28361	40144
414	28432	40079
415	28509	40022
416	28584	39963
417	28659	39903
418	28739	39850
419	28808	39782
420	28881	39721
421	28950	39651
422	29024	39591
423	29101	39533
424	29177	39475
425	29246	39407
426	29317	39342
427	29384	39270
428	29453	39202
429	29519	39131
430	29583	39055
431	29650	38985
432	29718	38915
433	29794	38856
434	29865	38790
435	29932	38720
436	30008	38661
437	30078	38593
438	30144	38522
439	30211	38450
440	30285	38388
441	30358	38325
442	30427	38258
443	30490	38181
444	30557	38111
445	30627	38043
446	30699	37979
447	30770	37913
448	30840	37846
449	30918	37788
450	30987	37721
451	31055	37651
452	31126	37584
453	31192	37513
454	31255	37438
455	31325	37370
456	31394	37302
457	31459	37229
458	31524	37156
459	31595	37090
460	31665	37022
461	31731	36951
462	31802	36885
463	31874	36820
464	31952	36762
465	32024	36697
466	32095	36630
467	32159	36557
468	32228	36488
469	32298	36421
470	32375	36362
471	32454	36304
472	32523	36237
473	32593	36169
474	32663	36101
475	32738	36039
476	32811	35975
477	32884	35911
478	32957	35847
479	33025	35777
480	33103	35718
481	33175	35653
482	33245	35586
483	33310	35513
484	33380	35444
485	33449	35376
486	33519	35309
487	33586	35238
488	33653	35167
489	33722	35099
490	33797	35036
491	33867	34968
492	33937	34901
493	34004	34830
494	34068	34756
495	34137	34688
496	34210	34623
497	34281	34556
498	34356	34494
499	34431	34431
500	34507	34370
501	34587	34312
502	34657	34244
503	34727	34176
504	34795	34106
505	34866	34039
506	34933	33969
507	35006	33903
508	35079	33839
509	35148	33770
510	35222	33706
511	35292	33638
512	35365	33572
513	35436	33506
514	35505	33437
515	35579	33373
516	35651	33306
517	35718	33236
518	35786	33166
519	35862	33103
520	35931	33034
521	36006	32971
522	36075	32902
523	36138	32828
524	36208	32759
525	36271	32685
526	36335	32612
527	36417	32555
528	36477	32478
529	36542	32405
530	36609	32335
531	36672	32261
532	36733	32185
533	36796	32110
534	36858	32036
535	36917	31958
536	36983	31887
537	37041	31809
538	37103	31734
539	37165	31659
540	37229	31586
541	37287	31508
542	37344	31430
543	37405	31354
544	37464	31277
545	37524	31201
546	37583	31125
547	37643	31049
548	37706	30975
549	37766	30899
550	37832	30829
551	37900	30759
552	37969	30691
553	38043	30626
554	38113	30559
555	38186	30494
556	38262	30431
557	38335	30365
558	38405	30298
559	38468	30225
560	38532	30153
561	38601	30084
562	38663	30010
563	38726	29937
564	38793	29867
565	38853	29792
566	38922	29723
567	38991	29655
568	39066	29591
569	39150	29534
570	39225	29470
571	39299	29405
572	39374	29341
573	39443	29273
574	39506	29200
575	39567	29126
576	39627	29050
577	39694	28981
578	39772	28919
579	39838	28848
580	39907	28779
581	39972	28708
582	40038	28638
583	40101	28565
584	40166	28494
585	40234	28425
586	40308	28359
587	40378	28292
588	40453	28228
589	40528	28163
590	40597	28095
591	40665	28026
592	40730	27954
593	40797	27885
594	40867	27817
595	40933	27746
596	41006	27680
597	41071	27609
598	41141	27542
599	41207	27471
600	41275	27402
601	41356	27341
602	41451	27290
603	41514	27218
604	41578	27146
605	41652	27080
606	41724	27014
607	41794	26946
608	41865	26879
609	41934	26810
610	42009	26745
611	42073	26674
612	42138	26602
613	42207	26534
614	42273	26463
615	42342	26395
616	42406	26323
617	42475	26254
618	42540	26183
619	42609	26115
620	42685	26051
621	42756	25983
622	42827	25916
623	42897	25848
624	42961	25777
625	43029	25707
626	43097	25638
627	43167	25570
628	43234	25500
629	43309	25435
630	43379	25367
631	43453	25302
632	43524	25234
633	43591	25165
634	43665	25098
635	43730	25028
636	43798	24958
637	43867	24890
638	43940	24823
639	44008	24755
640	44080	24687
641	44153	24621
642	44224	24553
643	44300	24488
644	44366	24418
645	44440	24352
646	44515	24287
647	44583	24218
648	44649	24147
649	44718	24079
650	44787	24010
651	44853	23940
652	44919	23869
653	44984	23799
654	45057	23732
655	45133	23667
656	45199	23597
657	45261	23525
658	45328	23455
659	45392	23383
660	45454	23311
661	45522	23242
662	45590	23173
663	45663	23106
664	45735	23039
665	45799	22968
666	45871	22901
667	45946	22835
668	46011	22764
669	46075	22693
670	46143	22624
671	46211	22555
672	46275	22484
673	46339	22413
674	46407	22344
675	46481	22277
676	46549	22208
677	46617	22140
678	46702	22078
679	46771	22010
680	46849	21945
681	46928	21881
682	47004	21816
683	47075	21748
684	47149	21681
685	47218	21613
686	47283	21542
687	47351	21473
688	47421	21405
689	47499	21340
690	47575	21274
691	47651	21208
692	47727	21143
693	47801	21076
694	47873	21009
695	47941	20940
696	48008	20870
697	48075	20800
698	48143	20731
699	48212	20662
700	48286	20595
701	48367	20531
702	48439	20464
703	48504	20393
704	48569	20323
705	48635	20253
706	48706	20185
707	48774	20115
708	48848	20049
709	48928	19984
710	48997	19915
711	49065	19846
712	49127	19775
713	49195	19705
714	49263	19636
715	49331	19567
716	49406	19500
717	49472	19430
718	49540	19361
719	49614	19294
720	49685	19226
721	49762	19160
722	49833	19092
723	49907	19025
724	49980	18958
725	50048	18888
726	50116	18819
727	50179	18748
728	50244	18678
729	50308	18607
730	50375	18537
731	50451	18471
732	50523	18403
733	50593	18334
734	50662	18266
735	50740	18200
736	50809	18131
737	50876	18061
738	50947	17993
739	51016	17924
740	51085	17855
741	51155	17787
742	51225	17718
743	51292	17649
744	51363	17580
745	51429	17510
746	51500	17442
747	51576	17376
748	51651	17309
749	51723	17241
750	51794	17172
751	51869	17105
752	51942	17038
753	52011	16969
754	52078	16899
755	52148	16831
756	52219	16762
757	52285	16692
758	52356	16624
759	52426	16555
760	52493	16486
761	52559	16416
762	52623	16345
763	52691	16276
764	52756	16206
765	52817	16134
766	52885	16065
767	52955	15996
768	53017	15925
769	53084	15856
770	53144	15784
771	53211	15715
772	53273	15644
773	53331	15572
774	53407	15505
775	53489	15440
776	53571	15375
777	53635	15304
778	53703	15235
779	53766	15164
780	53834	15095
781	53904	15027
782	53973	14958
783	54044	14889
784	54116	14821
785	54191	14754
786	54264	14686
787	54338	14619
788	54408	14550
789	54470	14479
790	54540	14410
791	54597	14338
792	54659	14267
793	54730	14199
794	54794	14129
795	54853	14057
796	54911	13986
797	54978	13916
798	55044	13847
799	55108	13777
800	55175	13707
801	55244	13638
802	55318	13571
803	55382	13501
804	55450	13432
805	55526	13364
806	55588	13294
807	55652	13224
808	55717	13154
809	55785	13085
810	55851	13016
811	55922	12947
812	55985	12877
813	56049	12807
814	56111	12736
815	56173	12666
816	56238	12596
817	56304	12527
818	56371	12458
819	56440	12389
820	56505	12319
821	56573	12250
822	56637	12180
823	56700	12110
824	56768	12041
825	56837	11972
826	56898	11902
827	56964	11833
828	57029	11763
829	57095	11694
830	57169	11626
831	57240	11558
832	57308	11489
833	57381	11421
834	57455	11353
835	57522	11284
836	57592	11215
837	57654	11145
838	57727	11077
839	57799	11009
840	57871	10941
841	57955	10875
842	58031	10807
843	58106	10740
844	58182	10672
845	58260	10605
846	58352	10540
847	58445	10476
848	58528	10409
849	58610	10343
850	58695	10276
851	58776	10209
852	58843	10140
853	58917	10072
854	58989	10004
855	59065	9936
856	59137	9867
857	59233	9803
858	59318	9736
859	59384	9667
860	59451	9597
861	59523	9529
862	59589	9459
863	59658	9390
864	59730	9322
865	59801	9253
866	59865	9183
867	59933	9114
868	60004	9045
869	60067	8975
870	60138	8906
871	60209	8838
872	60279	8769
873	60348	8700
874	60414	8630
875	60484	8561
876	60556	8493
877	60622	8423
878	60694	8354
879	60758	8285
880	60830	8216
881	60903	8148
882	60969	8078
883	61040	8009
884	61109	7940
885	61182	7872
886	61256	7803
887	61333	7735
888	61420	7668
889	61498	7600
890	61573	7532
891	61639	7463
892	61709	7394
893	61776	7324
894	61844	7255
895	61906	7185
896	61968	7115
897	62048	7047
898	62141	6981
899	62221	6913
900	62288	6844
901	62362	6775
902	62433	6706
903	62502	6637
904	62566	6567
905	62632	6498
906	62699	6428
907	62763	6359
908	62831	6290
909	62897	6220
910	62962	6151
